"Atomic Number (Z)","Atomic Mass (A)","Level Index","Element","Level Energy (Modifier)","Level Energy","Level Energy (Unit)","Level Energy (Error)","Spin-Parity","Half-Life (Modifier)","Half-Life","Half-Life (Unit)","Half-Life (Error)","Decay Width (Modifier)","Decay Width","Decay Width (Unit)","Decay Width (Error)","Abundance (Modifier)","Abundance","Abundance (Error)","Mass Excess","Mass Excess (Unit)","Mass Excess (Error)","Decay Modes",
6,20,0,C,,0,keV,0,"0+",,16,ms,3,,,,,,,,37503.567,keV,230.625,"B- = 100 0,B-N = 66 10,B-2N = 18.6 ",
6,22,0,C,,0,keV,0,"0+",,6.1,ms,+1.4-1.2,,,,,,,,53611.203,keV,231.49,"B- = 100 0,B-N = 61 +14-13,B-2N = 37 ",
7,10,0,N,,0,keV,,"(1-)",,,,,,2.5,MeV,+2-1.5,,,,38800.027,keV,400,"P = 100 ",
7,11,0,N,,0,keV,,"1/2+",,,,,,780,keV,10,,,,24365.644,keV,5,"P = 100 ",
7,12,0,N,,0,keV,,"1+",,10.996,ms,0.015,,,,,,,,17338.068,keV,1,"EC+B+ = 100 ,ECA = 1.93 0.04",
7,13,0,N,,0,keV,,"1/2-",,9.967,m,0.004,,,,,,,,5345.481,keV,0.27,"EC+B+ = 100 ",
7,14,0,N,,0,keV,,"1+",,STABLE,,,,,,,,99.578 - 99.663,,2863.41683,keV,0.00022,,
7,15,0,N,,0,keV,,"1/2-",,STABLE,,,,,,,,0.337 - 0.422,,101.43809,keV,0.00058,,
7,16,0,N,,0,keV,0,"2-",,7.13,s,0.01,,,,,,,,5683.907,keV,2.301,"B- = 100 ,B-A = 0.00154 0.00005",
7,17,0,N,,0,keV,0,"1/2-",,4.171,s,0.003,,,,,,,,7870.079,keV,15,"B- = 100 0,B-N = 95.1 0.7,B-A = 0.0025 0.0004",
7,18,0,N,,0,keV,0,"1-",,619,ms,2,,,,,,,,13113.167,keV,18.57,"B- = 100 0,B-A = 12.2 0.6,B-N = 8.3 1.3,B-2N?",
7,19,0,N,,0,keV,0,"1/2-",,336,ms,3,,,,,,,,15856.255,keV,16.404,"B- = 100 0,B-N = 41.8 0.9",
7,20,0,N,,0,keV,0,"(2-)",,136,ms,3,,,,,,,,21766.498,keV,78.894,"B- = 100 0,B-N = 42.9 1.4,B-2N =~ 4.5 ",
7,21,0,N,,0,keV,0,"(1/2-)",,85.3,ms,4.5,,,,,,,,25231.915,keV,134.048,"B- = 100 0,B-N = 86.5 3.7,B-2N?",
7,22,0,N,,0,keV,0,"(0-)",,20.9,ms,2.1,,,,,,,,31764.805,keV,207.779,"B- = 100 0,B-N = 34 2,B-2N = 12 3",
7,23,0,N,,0,keV,0,,,14.1,ms,+1.2-1.5,,,,,,,,36720.429,keV,420.57,"B- = 100 0,B-N = 42 6,B-2N = 8 4,B-3N = 3.4 ",
7,24,0,N,,0,keV,,,,52,ns,,,,,,,,,46938,keV,401,"N?",
8,11,0,O,,0,keV,0,"(3/2-)",,,,,,2.31,MeV,0.14,,,,47738.913,keV,60.038,"2P = 100 0",
8,12,0,O,,0,keV,,"0+",,,,,,51,keV,19,,,,32013.335,keV,12,"2P = 100 ",
8,13,0,O,,0,keV,,"(3/2-)",,8.58,ms,0.07,,,,,,,,23115.432,keV,9.526,"EC+B+ = 100 ,ECP = 10.8 2",
8,14,0,O,,0,keV,,"0+",,70.6183,s,0.0074,,,,,,,,8007.781,keV,0.025,"EC+B+ = 100 ",
8,15,0,O,,0,keV,,"1/2-",,122.268,s,0.043,,,,,,,,2855.622,keV,0.49,"EC+B+ = 100 ",
8,16,0,O,,0,keV,,"0+",,STABLE,,,,,,,,99.738 - 99.776,,-4737.00217,keV,0.0003,,
8,17,0,O,,0,keV,,"5/2+",,STABLE,,,,,,,,0.0367 - 0.04,,-808.76421,keV,0.00064,,
8,18,0,O,,0,keV,,"0+",,STABLE,,,,,,,,0.187 - 0.222,,-782.81634,keV,0.00064,,
8,19,0,O,,0,keV,,"5/2+",,26.47,s,0.006,,,,,,,,3332.858,keV,2.637,"B- = 100 ",
8,20,0,O,,0,keV,,"0+",,13.51,s,0.04,,,,,,,,3796.172,keV,0.885,"B- = 100 ",
8,21,0,O,,0,keV,,"(5/2+)",,3.42,s,0.1,,,,,,,,8062.034,keV,12,"B- = 100 ",
8,22,0,O,,0,keV,0,"0+",,2.19,s,0.16,,,,,,,,9283.032,keV,56.921,"B- = 100 0,B-N = 22 ",
8,23,0,O,,0,keV,0,"1/2+",,96,ms,8,,,,,,,,14621.371,keV,121.712,"B- = 100 0,B-N = 7 2",
8,24,0,O,,0,keV,0,"0+",,72,ms,4,,,,,,,,18500.404,keV,164.874,"B- = 100 0,B-N = 41 3",
8,25,0,O,,0,keV,0,"(3/2+)",,,,,,88,keV,6,,,,27329.03,keV,165.084,"N = 100 0",
8,26,0,O,,0,keV,0,"0+",,0.0045,ns,+0.0032-0.0034,,,,,,,,34661.041,keV,164.95,"2N = 100 0",
8,28,0,O,,0,keV,,"0+",,100,ns,,,,,,,,,52080,keV,699,"2N?",
9,14,0,F,,0,keV,0,"2-",,,,,,910,keV,100,,,,31964.403,keV,41.119,"P = 100 0",
9,15,0,F,,0,keV,,"1/2+",,,,,,0.38,MeV,0.21,,,,16566.752,keV,14,"P = 100 ",
9,16,0,F,,0,keV,,"0-",,,,,,23.1,keV,3.8,,,,10675.182,keV,5.364,"P = 100 ",
9,17,0,F,,0,keV,,"5/2+",,64.368,s,0.025,,,,,,,,1951.701,keV,0.248,"EC+B+ = 100 ",
9,18,0,F,,0,keV,,"1+",,109.734,m,0.008,,,,,,,,873.112,keV,0.463,"EC+B+ = 100 0",
9,19,0,F,,0,keV,,"1/2+",,STABLE,,,,,,,,100,0,-1487.44512,keV,0.00082,,
9,20,0,F,,0,keV,,"2+",,11.0064,s,0.0081,,,,,,,,-17.463,keV,0.03,"B- = 100 ",
9,21,0,F,,0,keV,,"5/2+",,4.158,s,0.02,,,,,,,,-47.605,keV,1.8,"B- = 100 ",
9,22,0,F,,0,keV,0,"4+",,4.23,s,0.04,,,,,,,,2793.376,keV,12.399,"B- = 100 0,B-N = 11 ",
9,23,0,F,,0,keV,0,"(5/2+)",,2.23,s,0.14,,,,,,,,3285.263,keV,33.32,"B- = 100 0,B-N = 14 ",
9,24,0,F,,0,keV,0,"(3+)",,384,ms,15,,,,,,,,7544.516,keV,97.67,"B- = 100 0,B-N = 5.9 ",
9,25,0,F,,0,keV,0,"(5/2+)",,81,ms,10,,,,,,,,11334.167,keV,96.442,"B- = 100 0,B-N = 23.6 3.2,B-2N?",
9,26,0,F,,0,keV,0,"1+",,8.6,ms,0.7,,,,,,,,18674.655,keV,107.027,"B- = 100 0,B-N = 14 3,B-2N?",
9,26,1,F,,643.4,keV,0.1,"(4+)",,2.2,ms,0.1,,,,,,,,19318.055,keV,107.02704671717332,"IT = 82 11,B- = 18 11,B-N = 12 8",
9,27,0,F,,0,keV,0,"(5/2+)",,5.3,ms,0.3,,,,,,,,25133.478,keV,120.198,"B- = 100 0,B-N = 90 +10-30,B-2N?",
9,28,0,F,,0,keV,0,"(4-)",,,,,,180,keV,40,,,,33403.796,keV,120.347,"N = 100 0",
9,29,0,F,,0,keV,0,,,3.3,ms,0.4,,,,,,,,40150.19,keV,525.363,"B- = 100 0,B-N = 60 40,B-2N?",
9,30,0,F,,0,keV,0,,,250,ns,,,,,,,,,48960,keV,500,"N?",
9,31,0,F,,0,keV,0,,,,,,,,,,,,,56843,keV,535,"B- = 100 0,B-N?,B-2N?",
10,15,0,Ne,,0,keV,,"(3/2-)",,,,,,0.59,MeV,0.23,,,,40215.374,keV,66.684,"2P = 100 ",
10,16,0,Ne,,0,keV,,"0+",,,,,,80,keV,,,,,23986.775,keV,20.48,"2P = 100 0",
10,17,0,Ne,,0,keV,,"1/2-",,109.1,ms,0.5,,,,,,,,16500.452,keV,0.354,"EC+B+ = 100 0,ECP = 94.4 2.9,ECA = 3.51 0.16",
10,18,0,Ne,,0,keV,,"0+",,1.66432,s,+0.00056-0.00055,,,,,,,,5317.617,keV,0.363,"EC+B+ = 100 ",
10,19,0,Ne,,0,keV,0,"1/2+",,17.2569,s,0.0019,,,,,,,,1752.054,keV,0.16,"EC+B+ = 100 ",
10,20,0,Ne,,0,keV,,"0+",,STABLE,,,,,,,,90.48,0.03,-7041.93217,keV,0.00154,,
10,21,0,Ne,,0,keV,,"3/2+",,STABLE,,,,,,,,0.27,0.01,-5731.776,keV,0.038,,
10,22,0,Ne,,0,keV,,"0+",,STABLE,,,,,,,,9.25,0.03,-8024.716,keV,0.018,,
10,23,0,Ne,,0,keV,,"5/2+",,37.148,s,0.032,,,,,,,,-5154.045,keV,0.104,"B- = 100 ",
10,24,0,Ne,,0,keV,,"0+",,3.38,m,0.02,,,,,,,,-5951.642,keV,0.513,"B- = 100 ",
10,25,0,Ne,,0,keV,,"1/2+",,602,ms,8,,,,,,,,-2035.503,keV,29.045,"B- = 100 ",
10,26,0,Ne,,0,keV,0,"0+",,196,ms,2,,,,,,,,481.114,keV,18.429,"B- = 100 0,B-N = 0.13 0.03",
10,27,0,Ne,,0,keV,0,"(3/2+)",,30.9,ms,1.1,,,,,,,,7050.91,keV,90.77,"B- = 100 0,B-N = 2 0.5,B-2N?",
10,28,0,Ne,,0,keV,0,"0+",,18.7,ms,0.2,,,,,,,,11299.738,keV,126.068,"B- = 100 0,B-N = 12 1,B-2N = 3.7 0.5",
10,29,0,Ne,,0,keV,0,"(3/2-)",,14,ms,0.5,,,,,,,,18399.803,keV,149.505,"B- = 100 0,B-N = 28 6,B-2N = 4 1",
10,30,0,Ne,,0,keV,0,"0+",,7.3,ms,0.3,,,,,,,,23280.12,keV,253.25,"B- = 100 0,B-N = 13 4,B-2N = 8.9 2.3",
10,31,0,Ne,,0,keV,0,"(3/2-)",,3.4,ms,0.8,,,,,,,,31181.594,keV,266.195,"B- = 100 ,B-N?,B-2N?",
10,32,0,Ne,,0,keV,0,"0+",,4.5,ms,0.7,,,,,,,,36999,keV,503,"B- = 100 0,B-N?,B-2N?",
10,33,0,Ne,,0,keV,,,,180,ns,,,,,,,,,46130,keV,600,"N?",
10,34,0,Ne,,0,keV,0,"0+",,,,,,,,,,,,52842,keV,513,"B- = 100 0,B-N?,B-2N?",
11,17,0,Na,,0,keV,,"(1/2+)",,,,,,,,,,,,34719.58,keV,59.616,"P = 100 0",
11,18,0,Na,,0,keV,,"(1)-",,,,,,0.2,MeV,,,,,25037.992,keV,93.881,"P =~ 100 ",
11,19,0,Na,,0,keV,,"(5/2+)",,,,,,40,keV,,,,,12929.384,keV,10.535,"P =~ 100 ",
11,20,0,Na,,0,keV,,"2+",,448,ms,2,,,,,,,,6850.489,keV,1.109,"EC+B+ = 100 0,ECA = 19.9 0.2",
11,21,0,Na,,0,keV,,"3/2+",,22.4548,s,0.0053,,,,,,,,-2184.857,keV,0.042,"EC+B+ = 100 ",
11,22,0,Na,,0,keV,,"3+",,2.6018751891980174,y,0.00045693667279887273,,,,,,,,-5181.391,keV,0.132,"EC+B+ = 100 ",
11,23,0,Na,,0,keV,,"3/2+",,STABLE,,,,,,,,100,0,-9529.85352,keV,0.00181,,
11,24,0,Na,,0,keV,,"4+",,14.9578,h,0.0011,,,,,,,,-8417.901,keV,0.017,"B- = 100 ",
11,25,0,Na,,0,keV,,"5/2+",,58.9,s,0.6,,,,,,,,-9357.814,keV,1.2,"B- = 100 ",
11,26,0,Na,,0,keV,,"3+",,1.07128,s,0.00025,,,,,,,,-6860.78,keV,3.502,"B- = 100 ",
11,27,0,Na,,0,keV,0,"5/2+",,301,ms,5,,,,,,,,-5517.791,keV,3.726,"B- = 100 0,B-N = 0.13 0.03",
11,28,0,Na,,0,keV,0,"1+",,34.6,ms,1,,,,,,,,-988.315,keV,10.246,"B- = 100 0,B-N = 0.58 0.12",
11,29,0,Na,,0,keV,0,"3/2+",,43.2,ms,0.4,,,,,,,,2679.994,keV,7.337,"B- = 100 0,B-N = 24.7 2.5,B-2N?",
11,30,0,Na,,0,keV,0,"2+",,44.8,ms,1.2,,,,,,,,8474.67,keV,4.727,"B- = 100 0,B-N = 30 4,B-2N = 1.15 0.25,B-A = 0.000055 0.000002",
11,31,0,Na,,0,keV,0,"3/2+",,17,ms,0.2,,,,,,,,12246.031,keV,13.972,"B- = 100 0,B-N = 38.8 3.8,B-2N = 0.87 0.24",
11,32,0,Na,,0,keV,0,"(3-),(4-)",,13.2,ms,0.3,,,,,,,,18640.152,keV,37.26,"B- = 100 0,B-N = 24 7,B-2N = 8.3 2.1",
11,33,0,Na,,0,keV,0,"3/2+",,8.2,ms,0.2,,,,,,,,23780.113,keV,449.912,"B- = 100 0,B-N = 47 6,B-2N = 13 3",
11,34,0,Na,,0,keV,0,,,5.5,ms,1,,,,,,,,31680.114,keV,599.416,"B- = 100 0,B-N =~ 15 ,B-2N =~ 50 ",
11,35,0,Na,,0,keV,0,,,2.4,ms,0.4,,,,,,,,37831,keV,670,"B- = 100 0,B-N?,B-2N?",
11,37,0,Na,,0,keV,0,,,,,,,,,,,,,53134,keV,687,"B- = 100 0,B-N?,B-2N?",
12,18,0,Mg,,0,keV,0,"0+",,,,,,115,keV,100,,,,,,,"2P =~ 100 ",
12,19,0,Mg,,0,keV,,"1/2-",,3500,fs,2800,,,,,,,,31838.394,keV,60.001,"2P =~ 100 ",
12,20,0,Mg,,0,keV,,"0+",,90.4,ms,0.8,,,,,,,,17477.694,keV,1.863,"EC+B+ = 100 0,ECP = 29.9 1.1",
12,21,0,Mg,,0,keV,,"5/2+",,120,ms,0.8,,,,,,,,10903.851,keV,0.755,"EC+B+ = 100 ,ECA = 0.115 0.019,ECP = 20.9 1.3",
12,22,0,Mg,,0,keV,,"0+",,3.87445,s,0.00069,,,,,,,,-399.986,keV,0.159,"EC+B+ = 100 ",
12,23,0,Mg,,0,keV,,"3/2+",,11.3042,s,0.0035,,,,,,,,-5473.675,keV,0.032,"EC+B+ = 100 ",
12,24,0,Mg,,0,keV,,"0+",,STABLE,,,,,,,,78.88 - 79.05,,-13933.578,keV,0.013,,
12,25,0,Mg,,0,keV,,"5/2+",,STABLE,,,,,,,,9.988 - 10.034,,-13192.782,keV,0.047,,
12,26,0,Mg,,0,keV,,"0+",,STABLE,,,,,,,,10.96 - 11.09,,-16214.544,keV,0.029,,
12,27,0,Mg,,0,keV,,"1/2+",,9.435,m,0.027,,,,,,,,-14586.594,keV,0.047,"B- = 100 ",
12,28,0,Mg,,0,keV,,"0+",,20.915,h,0.009,,,,,,,,-15019.946,keV,0.261,"B- = 100 ",
12,29,0,Mg,,0,keV,,"3/2+",,1.31,s,0.13,,,,,,,,-10612.36,keV,0.345,"B- = 100 ",
12,30,0,Mg,,0,keV,0,"0+",,314,ms,5,,,,,,,,-8881.373,keV,1.295,"B- = 100 0,B-N = 0.06 ",
12,31,0,Mg,,0,keV,0,"1/2+",,270,ms,2,,,,,,,,-3122.152,keV,3.074,"B- = 100 0,B-N = 6.2 1.9",
12,32,0,Mg,,0,keV,0,"0+",,80.4,ms,0.4,,,,,,,,-828.901,keV,3.26,"B- = 100 0,B-N = 5.5 0.5",
12,33,0,Mg,,0,keV,0,"3/2-",,90.2,ms,0.9,,,,,,,,4962.873,keV,2.663,"B- = 100 0,B-N = 14 2,B-2N?",
12,34,0,Mg,,0,keV,0,"0+",,44.9,ms,0.4,,,,,,,,8323.324,keV,6.893,"B- = 100 0,B-N = 21 7,B-2N?",
12,35,0,Mg,,0,keV,0,"(5/2-)",,11.3,ms,0.6,,,,,,,,15639.786,keV,269.668,"B- = 100 0,B-N = 52 46,B-2N?",
12,36,0,Mg,,0,keV,0,"0+",,7.2,ms,1.2,,,,,,,,20380.159,keV,690.237,"B- = 100 0,B-N = 48 12,B-2N?",
12,37,0,Mg,,0,keV,0,"(3/2-)",,6.4,ms,1.5,,,,,,,,28211.478,keV,698.947,"B- = 100 0,B-N?,B-2N?",
12,38,0,Mg,,0,keV,,"0+",,3.1,ms,0.5,,,,,,,,34074,keV,503,"B- = 100 ,B-N?,B-2N?",
12,40,0,Mg,,0,keV,0,"0+",,,,,,,,,,,,49550,keV,500,"B- = 100 0,B-N?,B-2N?",
13,21,0,Al,,0,keV,,"(5/2+)",,35,ns,,,,,,,,,27090,keV,600,"P?",
13,22,0,Al,,0,keV,,"(4)+",,88.6,ms,2.5,,,,,,,,18201,keV,401,"EC+B+ = 100 0,ECP = 57.7 0.6,EC2P = 1.17 0.07,ECA = 0.079 0.041",
13,23,0,Al,,0,keV,,"5/2+",,447,ms,36,,,,,,,,6748.071,keV,0.345,"EC+B+ = 100 ,ECP = 1.04 0.03",
13,24,0,Al,,0,keV,,"4+",,2.053,s,0.004,,,,,,,,-48.812,keV,0.228,"EC+B+ = 100 ,ECA = 0.035 0.006,ECP = 0.0016 0.0003",
13,24,1,Al,,425.8,keV,0.1,"1+",,130.7,ms,1.1,,,,,,,,376.988,keV,0.24896586111352698,"EC+B+ = 29.4 2.3,IT = 70.6 2.3,ECA = 0.028 0.006",
13,25,0,Al,,0,keV,,"5/2+",,7.1666,s,0.0025,,,,,,,,-8915.974,keV,0.065,"EC+B+ = 100 ",
13,26,0,Al,,0,keV,,"5+",,716594,y,17071,,,,,,,,-12210.139,keV,0.066,"EC+B+ = 100 ",
13,26,1,Al,,228.305,keV,0.013,"0+",,6.34603,s,0.00054,,,,,,,,-11981.833999999999,keV,0.06726812023536856,"EC+B+ = 100 ",
13,27,0,Al,,0,keV,,"5/2+",,STABLE,,,,,,,,100,0,-17196.864,keV,0.047,,
13,28,0,Al,,0,keV,,"3+",,2.2483,m,0.0009,,,,,,,,-16850.719,keV,0.049,"B- = 100 ",
13,29,0,Al,,0,keV,,"5/2+",,6.56,m,0.06,,,,,,,,-18207.762,keV,0.345,"B- = 100 ",
13,30,0,Al,,0,keV,,"3+",,3.61,s,0.04,,,,,,,,-15864.116,keV,1.936,"B- = 100 ",
13,31,0,Al,,0,keV,0,"5/2(+)",,0.644,s,0.025,,,,,,,,-14950.709,keV,2.236,"B- = 100 0,B-N = 1.6 ",
13,32,0,Al,,0,keV,0,"1+",,31.7,ms,0.3,,,,,,,,-11099.368,keV,7.173,"B- = 100 0,B-N = 0.7 0.5",
13,33,0,Al,,0,keV,0,"5/2+",,41.5,ms,0.1,,,,,,,,-8497.382,keV,6.986,"B- = 100 0,B-N = 8.5 0.7",
13,34,0,Al,,0,keV,0,"4-",,53.73,ms,0.13,,,,,,,,-2997.619,keV,2.105,"B- = 100 0,B-N = 25 3,B-2N?",
13,34,1,Al,,46.47,keV,0.17,"1+",,22.1,ms,0.2,,,,,,,,-2951.1490000000003,keV,2.1118534513549942,"B- = 100 0,B-N = 11 4,B-2N?",
13,35,0,Al,,0,keV,0,"(5/2+)",,38.4,ms,0.3,,,,,,,,-223.73,keV,7.359,"B- = 100 0,B-N = 38 2,B-2N?",
